City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
288,Rorvik,NO,64.8621,11.2373,39.88,82,100,20.47,overcast clouds
289,College,US,64.8569,-147.8028,-12.33,75,40,0.0,scattered clouds
290,Oussouye,SN,12.485,-16.5469,84.38,62,96,14.16,overcast clouds
291,Sur,OM,22.5667,59.5289,71.37,54,3,4.65,clear sky
292,Mao,ES,39.8885,4.2658,43.36,100,0,5.75,clear sky
293,Baruun-Urt,MN,46.6806,113.2792,-8.21,89,16,2.44,few clouds
294,Port Hawkesbury,CA,45.6169,-61.3485,36.99,100,100,28.77,moderate rain
295,Pangnirtung,CA,66.1451,-65.7125,-16.6,69,100,2.3,light snow
296,Soyo,AO,-6.1349,12.3689,79.29,87,95,6.71,light rain
297,Badnawar,IN,23.0167,75.2167,56.64,32,0,2.73,clear sky
298,Keti Bandar,PK,24.1447,67.4497,69.46,72,0,8.28,clear sky
299,Bilibino,RU,68.0546,166.4372,-4.83,87,100,3.27,overcast clouds
300,Yumen,CN,40.2833,97.2,14.58,60,0,5.5,clear sky
301,Murgab,TM,37.4966,61.9714,39.07,70,75,6.91,broken clouds
302,Itarema,BR,-2.9248,-39.9167,81.75,65,94,10.36,overcast clouds
303,Hede,CN,33.7681,120.2517,33.58,65,100,6.13,overcast clouds
304,Porbandar,IN,21.6422,69.6093,66.24,51,0,9.6,clear sky
305,Fier,AL,40.7239,19.5561,40.64,63,0,7.96,clear sky
306,Manado,ID,1.487,124.8455,75.97,100,40,1.14,scattered clouds
307,Gunjur,GM,13.2019,-16.7339,75.27,64,0,9.22,clear sky
308,Marzuq,YE,14.4,46.4667,62.42,77,10,4.65,clear sky
309,Yerbogachen,RU,61.2767,108.0108,-25.01,100,80,3.09,broken clouds
310,Opuwo,NA,-18.0607,13.84,71.69,40,100,8.93,overcast clouds
311,Ajra,IN,16.1167,74.2,63.45,43,6,4.38,clear sky
312,Horqueta,PY,-23.3428,-57.0597,96.69,25,0,7.78,clear sky
313,Zaysan,KZ,47.4667,84.8667,-0.98,82,100,1.74,overcast clouds
314,Port Blair,IN,11.6667,92.75,77.04,83,75,2.3,mist
315,Shimoda,JP,34.6667,138.95,39.11,70,61,8.72,broken clouds
316,Gizo,SB,-8.103,156.8419,82.29,77,100,8.48,light rain
317,Takoradi,GH,4.8845,-1.7554,80.42,84,15,7.43,few clouds
318,Amapa,BR,1.0,-52.0,75.38,97,100,3.15,heavy intensity rain
